# Outer walls
(-5,-5,0) (-5,-4.75,0) (5,-4.75,0) (5,-5,0) 3 4 1 0.04
(-5,4.75,0) (-5,5,0) (5,5,0) (5,4.75,0) 3 4.0 1 0.04
(-5,-4.75,0) (-5,4.75,0) (-4.75,4.75,0) (-4.75,-4.75,0) 3 4 1 0.04
(4.75,-4.75,0) (4.75,4.75,0) (5,4.75,0) (5,-4.75,0) 3 4.0 1 0.04

# Mid wall (Split left and right sides)
(0,-4.75,0) (0,-4.15,0) (0.25,-4.15,0) (0.25,-4.15,0) 3 4 1 0.04
(0,-2.55,0) (0,-1.2,0) (0.25,-1.2,0) (0.25,-2.55,0) 3 4 1 0.04
(0,-0.25,0) (0,2.75,0) (0.25,2.75,0) (0.25,-0.25,0) 3 4 1 0.04
(0,3.75,0) (0,4.75,0) (0.25,4.75,0) (0.25,3.75,0) 3 4 1 0.04

# Left top and bottom rooms
(-4.75,-0.25,0) (-4.75,0,0) (-3.9,0,0) (-3.9,-0.25,0) 3 4 1 0.04
(-2.9,-0.25,0) (-2.9,0,0) (0,0,0) (0,-0.25,0) 3 4 1 0.04

# Right top and middle rooms
(0.25,1.45,0) (0.25,1.7,0) (1.65,1.7,0) (1.65,1.45,0) 3 4 1 0.04
(2.65,1.45,0) (2.65,1.7,0) (4.75,1.7,0) (4.75,1.45,0) 3 4 1 0.04

# Right middle and bottom rooms
(0.25,-1.87,0) (0.25,-1.62,0) (1,-1.62,0) (1,-1.87,0) 3 4 1 0.04
(3.9,-1.87,0) (3.9,-1.62,0) (4.75,-1.62,0) (4.75,-1.87,0) 3 4 1 0.04
